28420,0
3794,-25577
-16825,-5104
-2410,5096
-2179,-1456
-1389,1533
-1598,-1947
-2256,1352
-680,-1643
-3081,772
-77,-779
-3407,-167
-54,271
-3133,-1121
-618,1155
-2351,-1744
-1571,1571
-1331,-1795
-2557,1367
-456,-1276
-3254,647
-17,-340
-3404,-335
-170,678
-2961,-1227
-855,1427
-2097,-1721
-1850,1677
-1080,-1617
-2779,1314
-297,-979
-3350,497
0,0
-3350,-497
-297,979
-2779,-1314
-1080,1617
-1850,-1677
-2097,1721
-855,-1427
-2961,1227
-170,-678
-3404,335
-17,340
-3254,-647
-456,1276
-2557,-1367
-1331,1795
-1571,-1571
-2351,1744
-618,-1155
-3133,1121
-54,-271
-3407,167
-77,779
-3081,-772
-680,1643
-2256,-1352
-1598,1947
-1389,-1533
-2179,1456
-2410,-5096
-16825,5104
3794,25577
